date,close,high,low,trade_count,open,volume,vwap
2022-11-25 05:00:00+00:00,402.26,402.89,401.575,4072,401.85,354072,402.280544
2022-11-28 05:00:00+00:00,395.9,400.78,395.125,11394,399.095,987539,397.417043
2022-11-29 05:00:00+00:00,395.325,397.26,393.35,7984,396.05,905449,395.157478
2022-11-30 05:00:00+00:00,407.45,407.53,393.575,13739,395.495,2347320,401.107713
2022-12-01 05:00:00+00:00,407.41,409.96,404.77,12108,408.79,1340246,407.406716
2022-12-02 05:00:00+00:00,406.855,407.83,402.295,10684,402.295,1198086,404.91812
2022-12-05 05:00:00+00:00,399.61,404.91,398.18,14179,403.83,1595237,400.999157
2022-12-06 05:00:00+00:00,393.93,399.99,391.665,11136,399.41,1213050,394.509073
2022-12-07 05:00:00+00:00,393.11,395.62,392.04,8569,392.83,905487,393.390365
2022-12-08 05:00:00+00:00,396.135,397.34,393.59,8642,395.05,1050916,395.848115
2022-12-09 05:00:00+00:00,393.295,397.6,393.165,9922,394.94,1051349,395.485725
2022-12-12 05:00:00+00:00,398.905,398.91,393.42,8574,394.11,986494,396.055991
2022-12-13 05:00:00+00:00,402.03,410.31,399.11,13663,410.3,1730605,403.958066
2022-12-14 05:00:00+00:00,399.39,405.36,396.33,12997,401.63,1636933,401.317328
2022-12-15 05:00:00+00:00,389.81,395.205,387.915,16718,394.33,2089252,390.052484
2022-12-16 05:00:00+00:00,383.35,386.49,381.08,14496,385.16,1699530,383.420482
2022-12-19 05:00:00+00:00,380.0,383.78,378.305,10733,383.535,979700,380.522579
2022-12-20 05:00:00+00:00,380.49,382.195,377.865,6310,379.18,612906,380.416928
2022-12-21 05:00:00+00:00,386.13,387.365,382.735,7141,383.27,705913,385.53829
2022-12-22 05:00:00+00:00,380.73,383.365,374.77,13667,383.01,1432802,378.835911
2022-12-23 05:00:00+00:00,382.75,383.04,378.06,9185,379.66,666399,381.281148
2022-12-27 05:00:00+00:00,381.335,383.075,379.67,10235,382.88,609727,381.533104
2022-12-28 05:00:00+00:00,376.69,383.33,376.51,11861,381.33,918689,378.973416
2022-12-29 05:00:00+00:00,383.37,384.34,379.12,11648,379.69,1118483,382.986937
2022-12-30 05:00:00+00:00,382.47,382.57,378.44,9571,380.66,933670,380.458101
2023-01-03 05:00:00+00:00,380.92,386.425,377.89,10605,384.33,1210981,381.028394
2023-01-04 05:00:00+00:00,383.75,385.82,380.05,12106,383.2,1313126,383.267016
2023-01-05 05:00:00+00:00,379.34,381.83,378.8,9828,381.56,1041106,380.045589
2023-01-06 05:00:00+00:00,388.01,389.24,379.56,14524,382.71,1593344,386.225243
2023-01-09 05:00:00+00:00,387.9,393.64,387.67,12268,390.375,930814,390.839381
2023-01-10 05:00:00+00:00,390.6,390.63,386.28,11158,387.21,835820,389.09566
2023-01-11 05:00:00+00:00,395.55,395.59,391.48,9867,392.38,963241,393.703735
2023-01-12 05:00:00+00:00,397.03,398.46,392.46,11479,396.74,1081572,396.199477
2023-01-13 05:00:00+00:00,398.49,399.08,393.38,11669,393.65,833579,396.839622
2023-01-17 05:00:00+00:00,397.75,400.19,397.1,10999,398.52,861542,398.235019
2023-01-18 05:00:00+00:00,391.59,400.1,391.3,13330,399.14,1636291,394.160725
2023-01-19 05:00:00+00:00,388.57,391.06,387.3,12302,389.16,1224701,389.26785
2023-01-20 05:00:00+00:00,395.89,396.03,388.42,12531,389.95,1232221,392.955109
2023-01-23 05:00:00+00:00,400.59,402.635,395.74,13319,396.82,1240802,400.077897
2023-01-24 05:00:00+00:00,400.21,401.145,397.72,9389,398.88,804302,399.839221
2023-01-25 05:00:00+00:00,400.245,400.68,393.59,13043,395.83,1223209,397.426913
2023-01-26 05:00:00+00:00,404.75,404.91,400.04,12242,403.21,1024840,402.661288
2023-01-27 05:00:00+00:00,405.68,408.145,403.485,12096,403.73,1154808,406.106561
2023-01-30 05:00:00+00:00,400.63,405.1,400.305,14100,402.745,1351155,402.20673
2023-01-31 05:00:00+00:00,406.5,406.51,400.86,11911,401.12,1102712,403.980586
2023-02-01 05:00:00+00:00,410.65,413.65,402.39,13663,405.1,1473487,407.27026
2023-02-02 05:00:00+00:00,416.73,418.27,412.89,17426,414.85,1588666,415.626643
2023-02-03 05:00:00+00:00,412.31,416.91,411.125,12938,411.55,1127556,413.604413
2023-02-06 05:00:00+00:00,409.95,411.23,408.11,9927,409.82,759146,409.958736
2023-02-07 05:00:00+00:00,415.25,416.49,407.74,12575,408.89,1295710,411.90294
2023-02-08 05:00:00+00:00,410.7,414.53,409.97,14426,413.15,1526958,411.461177
2023-02-09 05:00:00+00:00,407.15,414.55,405.89,16275,414.5,1545776,409.381942
2023-02-10 05:00:00+00:00,408.01,408.44,405.045,12146,405.94,1082160,407.003091
2023-02-13 05:00:00+00:00,412.74,412.96,408.24,10657,408.76,888501,411.688725
2023-02-14 05:00:00+00:00,412.72,415.02,408.52,11979,411.24,1157809,412.07961
2023-02-15 05:00:00+00:00,413.955,413.955,409.785,10210,410.44,821878,412.120701
2023-02-16 05:00:00+00:00,408.27,412.91,408.2,11785,408.82,1163982,410.437831
2023-02-17 05:00:00+00:00,407.255,407.49,404.075,13545,405.97,1227607,405.875165
2023-02-21 05:00:00+00:00,399.06,404.075,398.83,15519,403.1,1516566,400.429589
2023-02-22 05:00:00+00:00,398.53,401.13,397.03,12056,399.51,1170602,398.916009
2023-02-23 05:00:00+00:00,400.6,402.2,396.29,11958,401.53,1399412,399.524615
2023-02-24 05:00:00+00:00,396.44,397.235,393.69,12701,395.4,1237939,395.431669
2023-02-27 05:00:00+00:00,397.695,401.21,396.77,9968,399.92,874279,398.738538
2023-02-28 05:00:00+00:00,396.26,399.23,396.26,11621,397.29,1008867,397.667413
2023-03-01 05:00:00+00:00,394.715,396.675,393.4,10160,395.38,1054008,394.974195
2023-03-02 05:00:00+00:00,397.83,398.685,392.37,14689,392.69,1345473,395.396432
2023-03-03 05:00:00+00:00,404.175,404.415,399.035,12460,399.71,1236338,402.53941
2023-03-06 05:00:00+00:00,404.45,407.44,404.03,10766,405.13,1000217,405.55069
2023-03-07 05:00:00+00:00,398.29,404.65,397.625,14966,404.415,1385511,399.975906
